% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=693169, Thu Aug 24 16:21:27 2017
1 31 0.998905873325 1.0000400008 74513153279.1 7.4513153279099106e+10 6.1765522048e+14 9.58131977794e+15   
2 61 0.995873240536 1.31878108036 74513153279.1 8.4718067792377930e+11 1.50026409284e+14 4.44369079466e+17   
3 91 0.990459426016 1.54014718096 74513153279.1 1.2938859611494043e+11 6.91213847795e+14 7.71187470737e+16   
4 121 0.97977685086 1.64671517942 74513153279.1 7.1520033439777930e+11 8.3247459006e+14 1.4972594681e+16   
5 151 0.971080767001 1.6667120019 74513153279.1 3.9496341320069858e+12 4.13019727951e+14 1.49814106508e+16   
6 181 0.972146331954 1.79612403866 74513153279.1 2.3892101259393423e+11 4.01364263346e+14 6.10015325671e+15   
7 211 0.966196011238 1.8394941983 74513153279.1 2.5034501320938545e+12 6.28632785399e+14 9.3165952114e+15   
8 241 0.961892697952 1.93724707039 74513153279.1 2.0206266972597467e+11 1.09504972798e+15 1.76338822583e+17   
9 271 0.943107961201 1.96124854166 74513153279.1 3.1276090258172211e+11 8.70416955549e+14 4.69539804442e+15   
10 301 0.946027489864 2.01766212752 74513153279.1 8.2329739604471207e+10 7.75092701013e+14 1.22442141179e+16   
11 331 0.947599780238 2.03449257303 14243509003.5 1.4243509003478720e+10 3.30066098233e+14 4.25788681037e+15   
12 361 0.933523164718 2.25387940237 14243509003.5 1.5664545105496295e+11 4.37677036689e+14 8.98373547255e+15   
13 391 0.921495804755 2.5509187637 14243509003.5 2.8035324120708716e+12 1.00256210827e+15 6.74529535103e+15   
14 421 0.899673304786 2.66058256842 14243509003.5 4.0715966029928406e+10 2.26253863367e+14 3.9586025494e+15   
15 451 0.885118005455 3.07957773466 14243509003.5 5.4471861174959221e+10 3.75263112783e+14 2.91124232386e+15   
16 481 0.871193808249 3.11077555355 14243509003.5 2.6896371638808820e+11 1.65428212433e+15 4.68417062616e+15   
17 511 0.858252416896 3.11342181413 14243509003.5 6.5594449199849648e+10 9.71893866024e+14 1.08428794039e+16   
18 541 0.858833998522 3.57016140831 14243509003.5 1.4898292162444968e+11 2.1163478597e+14 6.38047666945e+15   
19 571 0.854785337009 3.56122383375 14243509003.5 4.8835568985405029e+11 7.81493950431e+14 6.03176962635e+15   
20 601 0.846992699982 3.84570264122 14243509003.5 2.6691102836281186e+11 2.10386802294e+14 3.4462709744e+15   
21 631 0.84020915801 4.27491389988 14243509003.5 1.3845343420673428e+11 1.02192655318e+14 3.82118505771e+15   
22 661 0.838731063616 4.710422215 13839305494.1 1.3839305494083540e+10 1.21960507628e+14 4.42443405028e+15   
23 691 0.833174959436 4.81754676192 13839305494.1 2.1329120839692741e+10 2.32644540438e+14 4.82161968918e+15   
24 721 0.82565997855 4.88542133982 13839305494.1 3.5259480254115761e+10 1.25515904648e+14 6.34338182569e+15   
25 751 0.82255042103 5.0188556835 13839305494.1 2.1097961760723038e+11 4.40563025486e+14 6.72988248015e+15   
26 781 0.827770840528 4.98454847454 13839305494.1 3.3386987094232434e+11 1.02420792396e+15 3.91259940671e+15   
27 811 0.835741149801 5.20323061264 13839305494.1 1.9809429717346569e+10 1.17681336331e+14 4.16679452774e+15   
28 841 0.839470034537 4.68415154941 13839305494.1 2.6235982215161503e+10 2.43060098748e+14 3.59456168564e+15   
29 871 0.835759472255 4.67408765564 13839305494.1 5.7861685708370697e+10 3.04439274473e+14 2.69976757121e+15   
30 901 0.839633965921 5.15401923045 13839305494.1 8.0165333615957977e+10 3.72477183491e+13 3.38854548511e+15   
31 931 0.828157942827 5.25947460601 13839305494.1 3.0682520600762585e+11 1.9923599446e+13 5.43818348852e+15   
32 961 0.81096155157 5.92191488849 13839305494.1 8.6792444456692017e+10 3.18304378687e+12 6.38778031675e+14   
33 991 0.797950728828 6.69887023149 13839305494.1 3.0198644897544327e+10 5.80453771441e+12 4.80319725177e+14   
34 1021 0.788850618645 7.81624125234 13070396503.0 1.3070396502967529e+10 1.03625887433e+12 6.70541518299e+13   
35 1051 0.783368813943 9.73331904545 13070396503.0 1.6420423448360277e+10 180383885917.0 5.02718763266e+12   
36 1081 0.774431175947 12.1914789372 9758961304.43 9.7589613044269619e+09 86485917326.5 398924549666.0   
37 1111 0.772014636478 14.1262895488 6721630405.42 6.7216304054204483e+09 53428707559.1 3.51885298584e+12   
38 1141 0.760207007343 15.7394797992 6205915440.5 6.2059154405007811e+09 39051529585.9 213675157505.0   
39 1171 0.748879810251 19.6706268111 4208132546.35 4.2081325463472033e+09 26398964003.6 5.51409184463e+12   
40 1201 0.740481953109 21.3994629459 4208132546.35 4.5331232875689554e+09 14455607666.4 102200288653.0   
41 1231 0.729250506326 26.6137958444 3961625214.21 3.9616252142085061e+09 11179080457.7 1.37564817555e+13   
42 1261 0.717834546739 29.5865515171 3820102322.26 3.8201023222615142e+09 7352999824.48 29026786216.2   
43 1291 0.697516821595 35.1018174267 3566092110.0 3.5660921099977541e+09 6591764917.08 1.4304269453e+13   
44 1321 0.691722273372 40.3468947923 2965384169.49 2.9653841694881330e+09 5744013038.54 9.75786933426e+12   
45 1351 0.687482571313 47.4189344676 2960891607.21 2.9608916072127943e+09 4472368133.88 10958263868.2   
