% # iter+eval+sigma+0+fitness+xbest, seed=693169, Thu Aug 24 16:21:27 2017
1 31 0.998905873325 0 74513153279.1 2462478.25048 2462728.69626 -1.39745440541 0.521538694005 -0.0284368827278
2 61 0.995873240536 0 847180677924.0 2462498.92536 2462741.75822 -2.52300991444 0.265251653093 0.191926812105
3 91 0.990459426016 0 129388596115.0 2462484.72412 2462726.74979 -1.71825514433 0.0981353334689 0.195133917945
4 121 0.97977685086 0 715200334398.0 2462476.20412 2462742.46396 -2.3695253923 0.19560425213 0.670940796533
5 151 0.971080767001 0 3.94963413201e+12 2462481.24982 2462728.21731 -2.97305062295 1.22158436132 0.116156504064
6 181 0.972146331954 0 238921012594.0 2462495.62595 2462752.83748 -1.94437197571 0.158380570377 -0.401994560046
7 211 0.966196011238 0 2.50345013209e+12 2462485.78212 2462744.22692 -2.85574582926 0.436109002224 0.859892622548
8 241 0.961892697952 0 202062669726.0 2462499.76734 2462744.40916 -1.88101603372 -0.15345668009 0.358522979707
9 271 0.943107961201 0 312760902582.0 2462487.33854 2462744.89649 -2.09751144563 -0.0124775000402 0.234580014627
10 301 0.946027489864 0 82329739604.5 2462474.5758 2462733.65942 -1.3631406978 0.597150276047 0.371401217703
11 331 0.947599780238 0 14243509003.5 2462490.82667 2462726.3907 -0.752454107047 -0.142962691761 -0.110916523525
12 361 0.933523164718 0 156645451055.0 2462494.1266 2462741.93694 -1.79825069571 0.170892288338 0.130515178184
13 391 0.921495804755 0 2.80353241207e+12 2462483.90116 2462735.35617 -3.00399024466 0.474769560614 0.384950271726
14 421 0.899673304786 0 40715966029.9 2462495.99689 2462727.71771 -1.22407466255 -0.116572138686 -0.0127736376743
15 451 0.885118005455 0 54471861175.0 2462499.48224 2462733.55688 -1.30077117099 -0.0187750461483 -0.377198730908
16 481 0.871193808249 0 268963716388.0 2462507.89484 2462736.14177 -2.04574041878 -0.0553301600393 -0.0584696524409
17 511 0.858252416896 0 65594449199.8 2462499.07906 2462740.45892 -1.42259692924 -0.0845367832144 0.153813729009
18 541 0.858833998522 0 148982921624.0 2462496.05458 2462744.70017 -1.78517753472 -0.0923067545282 -0.0608238737165
19 571 0.854785337009 0 488355689854.0 2462495.72979 2462748.89522 -2.26738455258 -0.0684544517111 0.398711101051
20 601 0.846992699982 0 266911028363.0 2462497.1041 2462739.74212 -2.01010871357 -0.131325666125 -0.341072051743
21 631 0.84020915801 0 138453434207.0 2462498.98684 2462734.15691 -1.74183320976 -0.00289615093585 0.248403310158
22 661 0.838731063616 0 13839305494.1 2462500.87152 2462732.08171 -0.741593509627 -0.121133364968 -0.112708570784
23 691 0.833174959436 0 21329120839.7 2462505.05575 2462737.28227 -0.941092970839 -0.098230487146 -0.0136947771075
24 721 0.82565997855 0 35259480254.1 2462502.90953 2462740.80172 -1.1477873009 -0.162130611126 -0.10250713022
25 751 0.82255042103 0 210979617607.0 2462495.70751 2462741.81006 -1.91327647339 -0.155013382208 -0.283828099509
26 781 0.827770840528 0 333869870942.0 2462495.74638 2462735.37283 -2.06658354502 -0.201886846647 -0.523554621038
27 811 0.835741149801 0 19809429717.3 2462494.82593 2462736.26693 -0.893450425089 0.145097845656 -0.130179060989
28 841 0.839470034537 0 26235982215.2 2462492.83055 2462731.51907 -1.01005113074 0.141221765973 -0.191846929598
29 871 0.835759472255 0 57861685708.4 2462499.16854 2462730.45552 -1.30286131721 -0.414630026748 -0.198260547394
30 901 0.839633965921 0 80165333616.0 2462490.11298 2462728.86505 -1.52194542245 0.0191253306998 0.0679479849921
31 931 0.828157942827 0 306825206008.0 2462489.5565 2462729.56135 -2.08727086367 -0.216278683581 0.18164561067
32 961 0.81096155157 0 86792444456.7 2462485.89238 2462728.828 -1.53190970975 0.283074859168 0.0275072379585
33 991 0.797950728828 0 30198644897.5 2462487.98539 2462730.10215 -1.0784080966 0.196236323653 -0.0828093192391
34 1021 0.788850618645 0 13070396503.0 2462486.60693 2462725.09254 -0.714386826428 0.180003256774 0.0183622484495
35 1051 0.783368813943 0 16420423448.4 2462486.90462 2462726.14521 -0.802489536446 0.171373830172 -0.158444763583
36 1081 0.774431175947 0 9758961304.43 2462486.6503 2462731.86768 -0.59757205316 -0.0517109045618 0.10054823246
37 1111 0.772014636478 0 6721630405.42 2462481.68007 2462725.322 -0.442247045401 0.0152146288568 0.0703432242129
38 1141 0.760207007343 0 6205915440.5 2462482.28942 2462723.301 -0.378970192211 0.163449953843 0.0322622723294
39 1171 0.748879810251 0 4208132546.35 2462480.30762 2462720.88222 -0.233331045544 0.0766631861645 -0.0132801988904
40 1201 0.740481953109 0 4533123287.57 2462480.75038 2462726.74314 -0.268087748925 0.0649972401714 0.0200967111306
41 1231 0.729250506326 0 3961625214.21 2462483.65693 2462727.45966 -0.210322416527 0.0469958425032 -0.0319202487212
42 1261 0.717834546739 0 3820102322.26 2462479.68034 2462727.17317 -0.186399313449 0.0590752949799 0.0512525769408
43 1291 0.697516821595 0 3566092110.0 2462484.4831 2462723.4726 -0.171329942658 -0.0227355757235 0.0128925520929
44 1321 0.691722273372 0 2965384169.49 2462482.10794 2462727.40959 -0.0902338051303 0.00272705124358 0.0181512452419
45 1351 0.687482571313 0 2960891607.21 2462480.67025 2462724.32058 -0.0910026498177 0.00160573734524 0.015328196521
